rule_id,rule_name,Why it Matters,Rule Description,Disabilities Affected,Description,Impact,Tags,Issue Type,ACT Rules
audio-caption,<audio> elements must have a captions <track>,"Without a caption for an audio file, deaf users are not able to know the
  meaningful information that the audio conveys such as identifying who is
  speaking, its dialogue, and non-speech information conveyed through sound such
  as musical cues or sound effects. Captions provide the part of the content
  that is available via the audio track.


  A lot happens in a video aside from dialogue. While a blind person has no
  problem hearing the dialogue in a movie, the person will miss out on important
  visual aspects of the video. Visual aspects can be made accessible using audio
  descriptions supplementing a video’s audio. In an audio description, the
  narrator speaks when there are gaps in speech and gives the context necessary
  to understand what is going on.


  An HTML5 audio element (e.g. <audio>) must have a caption
  provided using the <track> attribute. To be most effective,
  the caption should convey all meaningful information that the audio conveys
  including dialogue, musical cues, sound effects, and other relevant
  information.","The track element must be present for each HTML5
  audio element, with kind=""captions"" set as
  a property. Captions are text—synchronized with the audio file—of
  the dialog, narration, and any important auditory information, for the benefit
  of deaf users.","Deafblind, Deaf",Ensures <audio> elements have captions,Critical,"cat.time-and-media, wcag2a, wcag121, EN-301-549, EN-9.1.2.1, section508, section508.22.a, deprecated",needs review,"2eb176, afb423"
blink,<blink> elements are deprecated and must not be used,"As the name suggests, blink tags cause content to flash. Though
  you may like the effect, blinking text can be difficult to read, and blinking
  objects (links, buttons, etc.) can be difficult to activate, especially for
  users with imprecise or limited dexterity.


  It can be very difficult for people with visual and cognitive disabilities to
  see and understand text that blinks. Blinking text be distracting, especially
  for users with cognitive disabilities. It can also be difficult for some
  individuals to comprehend. For these reasons, the blink element
  should never be used.","This rule requires that no blink elements are present. Flashing
  text can be difficult to read and blinking objects can be difficult to
  activate. The associated automated check finds the presence of all
  blink elements so that they can be removed.","Low Vision, Mobility, Cognitive",Ensures <blink> elements are not used,Serious,"cat.time-and-media, wcag2a, wcag222, section508, section508.22.j, TTv5, TT2.b, EN-301-549, EN-9.2.2.2",failure,
definition-list,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, or <template> elements","Screen readers have a specific way of announcing definition lists. When such
  lists are not properly marked up, this creates the opportunity for confusing
  or inaccurate screen reader output.


  A definition list is used to provide the definitions of words or phrases. The
  Definition List is marked up using the dl element. Within the
  list, each term is put in a separate dt element, and its
  definition goes in the dd element directly following it.","Definition lists (dl) must contain only properly-ordered
  dt and dd groups, div,
  script, or template elements.","Blind, Deafblind",Ensures <dl> elements are structured correctly,Serious,"cat.structure, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",failure,
dlitem,<dt> and <dd> elements must be contained by a <dl>,"A definition list item must be wrapped in parent dl elements,
  otherwise it will be invalid.


  A definition list must follow a specific hierarchy. A list is defined using
  the dl element. What follows are alternating sets of
  dt and dd elements, starting with the
  dt element. dt elements define a term while
  dd elements denote a term's description. Each set of
  dt elements must have a corresponding set of
  dd elements. Only dt and dd elements
  are allowed in definition list. If this hierarchy is not followed, the list
  will be invalid.","Definition list items (dt and/or dd) must be wrapped
  in parent dl elements to be valid. This enables screen reader
  users to understand the proper hierarchy of information in the list.","Blind, Deafblind, Mobility",Ensures <dt> and <dd> elements are contained by a <dl>,Serious,"cat.structure, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",failure,
html-has-lang,<html> element must have a lang attribute,"When configuring a screen reader, users select a default language. If the
  language of a webpage is not specified, the screen reader assumes the default
  language set by the user. Language settings become an issue for users who
  speak multiple languages and access website in more than one language. It is
  essential to specify a language and ensure that it is valid so website text is
  pronounced correctly.


  Screen readers use different sound libraries for each language, based on the
  pronunciation and characteristics of that language. Screen readers can switch
  between these language libraries easily, but only if the documents specify
  which language(s) to read and when. If the language is not specified, the
  screen reader reads the document in the user's default language, resulting in
  a strange accent! It is impossible to understand anything when screen readers
  are using the wrong language library.","The HTML document element must contain a valid lang attribute or
  must correspond to a valid lang code for multilingual screen
  reader users who may prefer a language other than the default.","Blind, Deafblind, Cognitive",Ensures every HTML document has a lang attribute,Serious,"cat.language, wcag2a, wcag311, TTv5, TT11.a, EN-301-549, EN-9.3.1.1, ACT",failure,b5c3f8
html-lang-valid,<html> element must have a valid value for the lang attribute,"When configuring a screen reader, users select a default language. If the
  language of a webpage is not specified, the screen reader assumes the default
  language set by the user. Language settings are an issue for users who speak
  multiple languages and access website in more than one language. It is
  essential to specify a language and ensure that it is valid so website text is
  pronounced correctly.


  Screen readers use different sound libraries for each language, based on the
  pronunciation and characteristics of that language. Screen readers can switch
  between these language libraries easily, but only if the documents correctly
  specify which language(s) to read. If the language is not specified, the
  screen reader reads the document in the user's default language, resulting in
  a confusing accent! It is impossible to understand anything when screen
  readers are using the wrong language library.","The HTML document must contain a valid lang attribute or must
  correspond to a valid lang code for multilingual screen reader
  users who may prefer a language other than the default.","Blind, Deafblind, Cognitive",Ensures the lang attribute of the <html> element has a valid value,Serious,"cat.language, wcag2a, wcag311, TTv5, TT11.a, EN-301-549, EN-9.3.1.1, ACT",failure,bf051a
html-xml-lang-mismatch,<html> elements with lang and xml:lang must have the same base language,"When configuring a screen reader, users select a default language. If the
  language of a webpage is not specified, the screen reader assumes the default
  language set by the user. Multiple languages are an issue for users who speak
  and access websites in multiple languages. It is essential to specify a
  default language and ensure that it is valid for screen readers to function
  correctly.


  Screen readers use different sound libraries for each language, based on the
  pronunciation and characteristics of that language. Screen readers can switch
  between language libraries easily, but only if documents specify which
  language(s) should to read. If the language is not specified, screen readers
  read documents in the user's default language, resulting in garbled language.
  It can be challenging to understand anything when screen readers are using the
  wrong language library.","The HTML document must contain a valid lang attribute or must
  correspond to a valid lang code for multilingual screen reader
  users who may prefer a language other than the default. The
  xml:lang attribute value, if included on the
  html element, must duplicate the value of the
  lang exactly.","Blind, Deafblind, Cognitive",Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,Moderate,"cat.language, wcag2a, wcag311, EN-301-549, EN-9.3.1.1, ACT",failure,5b7ae0
listitem,<li> elements must be contained in a <ul> or <ol>,"For a list to be valid, it must have both parent and child elements. Parent
  elements can either be a set of ul tags or a set of
  ol tags. Child elements must be declared inside of these tags
  using the li tag.


  Screen readers notify users when they come to a list, and tell them how many
  items are in a list. Announcing the number of items in a list and the current
  list item helps listeners know what they are listening to, and what to expect
  as they listen to it.


  If you don't mark up a list using proper semantic markup in a hierarchy, list
  items cannot inform the listener that they are listening to a list when no
  parent is indicating the presence of a list and the type of list.","All list items (li) must be contained within ul or
  ol parent elements.","Blind, Deaf, Mobility",Ensures <li> elements are used semantically,Serious,"cat.structure, wcag2a, wcag131, EN-301-549, EN-9.1.3.1",failure,
marquee,<marquee> elements are deprecated and must not be used,"The marquee element creates scrolling text that is difficult to
  read and click on. Beyond that, it can be distracting to viewers, especially
  to those with low vision, cognitive disabilities, or attention deficits.


  People with attention deficits or cognitive disabilities could become
  distracted by content that scrolls. If scrolling content contains links,
  people with limited fine motor abilities may not be able to click on the links
  accurately. Users with visual impairments may not be able to see the scrolling
  text with enough acuity to know what the content says.","<marquee> elements must not be present because they are
  deprecated, increase difficulty for users with limited dexterity, and are
  distracting for users with cognitive or attention deficits.","Low Vision, Mobility, Cognitive",Ensures <marquee> elements are not used,Serious,"cat.parsing, wcag2a, wcag222, TTv5, TT2.b, EN-301-549, EN-9.2.2.2",failure,
object-alt,<object> elements must have alternate text,"Screen readers have no way of translating non-text content into text announced
  to users. Instead, they read out alternative text. For screen reader users to
  obtain the information contained in embedded object elements
  which must contain short, descriptive alternative text.


  The object element defines an embedded object within a document.
  It is used to embed multimedia (audio, video, applets, etcetera.) or another
  web page into the document. The object element needs a text alternative so
  that users of screen readers know the contents of the object.


  When writing a text alternative, keep in mind that the purpose of the
  alternative text is to relay information to blind users about the image’s
  contents and purpose - blind users should be able to get as much information
  from alternative text as a sighted user gets from the image. Alternative text
  should give the intent, purpose, and meaning of the image.


  When writing alternative text, it’s helpful to keep the following questions in
  mind:


Why is the non-text content here?
What information is it presenting?
What purpose does it fulfill?

    If I could not use the non-text content, what words would I use to convey
    the same information or function?
  


  Be sure that all text contained in this attribute is useful. Words like
  “chart”, “image”, “diagram”, or image file names tend not to be very useful.","All embedded objects must have text alternatives to be read out to screen
  reader users.","Blind, Deafblind",Ensures <object> elements have alternate text,Serious,"cat.text-alternatives, wcag2a, wcag111, section508, section508.22.a, EN-301-549, EN-9.1.1.1","failure, needs review",8fc3b6
